"family","design","rep","seed","n_rows","n_min_row","n_max_row","cond_inv","eff_dim","pkg_cond_inv","pkg_spread","flagged","scope","target_in_span","degenerate_margins","truth","ok","err_class","err_message","est","lo","hi","width","covered","max_rhat","min_ess","min_ess_tail","divergent","max_treedepth","n_chains_ok","n_chains_requested"
"normal","minimal_4",2,2054,4,119,162,0.562720152954831,2.45709861397578,0.605963914597071,1.0036759136969,FALSE,"identity",TRUE,6,-0.339213250399396,TRUE,NA,NA,-0.27305387,-0.45416109925,-0.0926118247500001,0.3615492745,TRUE,1.00101650047153,6176.23034399556,4270.65982478994,0,0,4,4
"normal","ovat_age_3",2,2054,3,200,200,1.28924419513549e-17,1.00000147366388,5.59763044818856e-17,0.941720564991822,TRUE,"identity",FALSE,0,-0.339213250399396,TRUE,NA,NA,0.0760577045,-0.32941457125,0.4870975995,0.81651217075,FALSE,1.00197938890841,3620.5862899307,3797.73068568631,0,0,4,4
"normal","ovat_age_6",2,2054,6,100,100,0.000424156490274202,1.00001193519658,0.0367266459658332,1.01314554223432,TRUE,"identity",TRUE,0,-0.339213250399396,TRUE,NA,NA,-0.12600619,-0.410082364,0.15618948125,0.56627184525,TRUE,1.00138956585202,4191.74264004346,3729.3796578862,0,0,4,4
"normal","crosstab_4",3,2075,4,117,189,0.00042777116915607,1.99916773905749,0.116012149925661,1.02118708366691,TRUE,"identity",TRUE,8,-0.375709835491948,TRUE,NA,NA,-0.4641524,-0.88681300975,-0.0485502540000002,0.83826275575,TRUE,1.00137299220438,4309.12093369513,3710.47348743272,0,0,4,4
"normal","joint_6",3,2075,6,54,168,0.745593636773007,2.83066020206323,0.744100986724734,1.0114681285512,FALSE,"identity",TRUE,10,-0.375709835491948,TRUE,NA,NA,-0.51366679,-0.69916296575,-0.329823106,0.36933985975,TRUE,1.00226108879024,5247.00083455372,4246.47830283871,0,0,4,4
"normal","joint_8",3,2075,8,54,104,0.781356412916224,2.87995009028477,0.812029658090854,1.02134426840664,FALSE,"identity",TRUE,16,-0.375709835491948,TRUE,NA,NA,-0.5421909,-0.72218762075,-0.358131997,0.36405562375,TRUE,1.00177782884453,5600.54637740952,3951.14429530942,0,0,4,4
"normal","minimal_4",3,2075,4,117,168,0.562720152954831,2.45709861397578,0.571247337884861,1.01117144381386,FALSE,"identity",TRUE,6,-0.375709835491948,TRUE,NA,NA,-0.533957745,-0.72889746425,-0.34197914975,0.3869183145,TRUE,1.00126839864387,5203.37589611067,4086.34344898511,0,0,4,4
"normal","ovat_age_3",3,2075,3,200,200,1.28924419513549e-17,1.00000147366388,8.69237955130542e-17,0.917520888545127,TRUE,"identity",FALSE,0,-0.375709835491948,TRUE,NA,NA,-0.54791969,-1.42119481,0.309143779,1.730338589,TRUE,1.0019548250093,2990.31792034044,3412.94268889261,0,0,4,4
"normal","ovat_age_6",3,2075,6,100,100,0.000424156490274202,1.00001193519658,0.0381548005311988,0.989572624504412,TRUE,"identity",TRUE,0,-0.375709835491948,TRUE,NA,NA,-0.4135317,-0.8386660055,0.00931448206499985,0.847980487565,TRUE,1.00135551363848,5290.20628501527,4053.784802285,0,0,4,4
"normal","crosstab_4",4,2096,4,112,186,0.00042777116915607,1.99916773905749,0.0288257583584193,1.02801758566831,TRUE,"identity",TRUE,8,-0.377391999106156,TRUE,NA,NA,-0.776414865,-2.0267525325,0.5642367765,2.590989309,TRUE,1.0014972462589,2236.8426541523,2464.89075066988,0,0,4,4
